iter	Passed	Remaining
0	34	48248
1	61	43145
2	92	43254
3	120	42158
4	149	41640
5	175	40795
6	204	40742
7	234	40765
8	268	41509
9	298	41527
10	325	41081
11	352	40728
12	379	40518
13	407	40387
14	437	40413
15	465	40298
16	494	40191
17	522	40102
18	549	39929
19	575	39730
20	601	39523
21	628	39366
22	653	39105
23	681	39083
24	705	38822
25	732	38707
26	760	38666
27	787	38608
28	812	38423
29	840	38364
30	869	38387
31	897	38376
32	920	38147
33	947	38058
34	975	38026
35	1002	37965
36	1029	37924
37	1057	37908
38	1082	37791
39	1110	37757
40	1137	37718
41	1165	37668
42	1193	37671
43	1223	37720
44	1251	37675
45	1279	37671
46	1303	37522
47	1328	37415
48	1355	37364
49	1384	37393
50	1410	37302
51	1434	37188
52	1462	37179
53	1489	37131
54	1514	37044
55	1540	36974
56	1567	36931
57	1595	36913
58	1620	36837
59	1646	36774
60	1672	36701
61	1699	36679
62	1727	36651
63	1752	36593
64	1782	36605
65	1810	36599
66	1839	36593
67	1863	36508
68	1892	36504
69	1918	36442
70	1944	36401
71	1969	36335
72	1995	36280
73	2023	36264
74	2049	36208
75	2079	36219
76	2106	36187
77	2131	36131
78	2158	36085
79	2185	36066
80	2211	36009
81	2235	35932
82	2262	35907
83	2290	35888
84	2317	35852
85	2345	35833
86	2373	35823
87	2399	35771
88	2426	35738
89	2453	35708
90	2481	35699
91	2509	35674
92	2536	35646
93	2564	35625
94	2595	35648
95	2620	35599
96	2648	35573
97	2675	35544
98	2704	35546
99	2729	35479
100	2758	35484
101	2789	35496
102	2814	35439
103	2841	35406
104	2867	35363
105	2898	35379
106	2924	35334
107	2948	35270
108	2981	35318
109	3018	35399
110	3045	35363
111	3075	35367
112	3104	35361
113	3129	35297
114	3156	35276
115	3184	35253
116	3211	35220
117	3238	35183
118	3264	35136
119	3293	35132
120	3322	35119
121	3349	35092
122	3376	35059
123	3403	35018
124	3431	35001
125	3458	34968
126	3488	34966
127	3515	34937
128	3541	34893
129	3573	34913
130	3598	34856
131	3625	34824
132	3651	34781
133	3679	34759
134	3706	34726
135	3732	34688
136	3757	34644
137	3784	34610
138	3809	34563
139	3838	34548
140	3868	34540
141	3897	34526
142	3925	34508
143	3955	34501
144	3987	34508
145	4013	34468
146	4041	34445
147	4069	34429
148	4098	34413
149	4122	34357
150	4150	34332
151	4178	34310
152	4208	34304
153	4235	34267
154	4259	34216
155	4286	34185
156	4311	34137
157	4338	34102
158	4368	34093
159	4394	34058
160	4423	34039
161	4449	34001
162	4480	34001
163	4507	33972
164	4529	33902
165	4554	33857
166	4579	33808
167	4603	33757
168	4629	33718
169	4655	33683
170	4681	33648
171	4706	33600
172	4732	33564
173	4761	33546
174	4787	33511
175	4815	33491
176	4844	33472
177	4873	33457
178	4895	33392
179	4921	33355
180	4944	33301
181	4973	33281
182	4996	33228
183	5023	33200
184	5053	33191
185	5080	33160
186	5109	33141
187	5134	33099
188	5160	33068
189	5186	33027
190	5211	32990
191	5236	32945
192	5262	32908
193	5287	32872
194	5314	32841
195	5339	32796
196	5365	32763
197	5389	32719
198	5415	32684
199	5440	32643
200	5466	32608
201	5494	32588
202	5521	32558
203	5550	32541
204	5578	32518
205	5603	32477
206	5629	32444
207	5656	32418
208	5687	32410
209	5716	32395
210	5747	32384
211	5770	32337
212	5797	32308
213	5823	32275
214	5853	32262
215	5881	32240
216	5905	32192
217	5933	32172
218	5961	32150
219	5985	32106
220	6010	32064
221	6037	32036
222	6062	32000
223	6089	31969
224	6113	31925
225	6139	31890
226	6165	31861
227	6192	31829
228	6219	31801
229	6247	31782
230	6276	31763
231	6302	31728
232	6328	31698
233	6354	31666
234	6379	31624
235	6403	31582
236	6430	31557
237	6456	31524
238	6480	31478
239	6507	31450
240	6533	31421
241	6561	31395
242	6585	31356
243	6609	31316
244	6635	31281
245	6666	31271
246	6696	31259
247	6722	31229
248	6751	31206
249	6777	31178
250	6806	31160
251	6833	31128
252	6862	31110
253	6885	31066
254	6910	31029
255	6937	31000
256	6965	30976
257	6992	30950
258	7016	30911
259	7046	30896
260	7074	30874
261	7101	30847
262	7126	30807
263	7154	30785
264	7180	30753
265	7206	30722
266	7231	30687
267	7262	30674
268	7289	30649
269	7315	30615
270	7345	30602
271	7370	30564
272	7398	30544
273	7426	30519
274	7455	30499
275	7480	30465
276	7506	30431
277	7532	30400
278	7559	30373
279	7578	30312
280	7602	30273
281	7628	30244
282	7656	30219
283	7681	30183
284	7705	30146
285	7730	30111
286	7760	30095
287	7783	30054
288	7809	30020
289	7832	29981
290	7861	29961
291	7888	29931
292	7915	29904
293	7940	29872
294	7966	29839
295	7992	29808
296	8018	29779
297	8054	29783
298	8086	29776
299	8112	29747
300	8138	29714
301	8163	29679
302	8187	29643
303	8210	29602
304	8238	29577
305	8269	29563
306	8294	29531
307	8324	29512
308	8353	29494
309	8399	29532
310	8427	29509
311	8453	29479
312	8479	29446
313	8502	29408
314	8528	29374
315	8557	29354
316	8585	29332
317	8608	29292
318	8635	29262
319	8660	29229
320	8686	29197
321	8712	29167
322	8737	29135
323	8768	29118
324	8792	29083
325	8822	29064
326	8849	29038
327	8878	29019
328	8904	28988
329	8931	28961
330	8961	28940
331	8985	28904
332	9013	28881
333	9037	28845
334	9065	28821
335	9094	28798
336	9119	28764
337	9143	28728
338	9170	28701
339	9196	28670
340	9222	28641
341	9249	28613
342	9276	28587
343	9300	28550
344	9327	28524
345	9359	28510
346	9382	28472
347	9409	28446
348	9435	28414
349	9460	28382
350	9481	28337
351	9509	28311
352	9537	28287
353	9562	28256
354	9588	28225
355	9616	28202
356	9644	28176
357	9672	28154
358	9698	28122
359	9722	28088
360	9751	28066
361	9779	28042
362	9804	28010
363	9833	27988
364	9857	27950
365	9881	27917
366	9906	27883
367	9938	27870
368	9965	27843
369	9990	27812
370	10014	27776
371	10040	27745
372	10065	27714
373	10092	27687
374	10118	27657
375	10144	27627
376	10167	27590
377	10194	27563
378	10218	27527
379	10246	27503
380	10272	27473
381	10298	27444
382	10328	27425
383	10353	27393
384	10378	27361
385	10403	27328
386	10430	27302
387	10455	27269
388	10479	27235
389	10504	27203
390	10534	27185
391	10561	27157
392	10587	27128
393	10611	27093
394	10636	27063
395	10661	27029
396	10685	26997
397	10710	26965
398	10736	26935
399	10761	26903
400	10786	26870
401	10815	26849
402	10838	26815
403	10865	26787
404	10888	26750
405	10915	26724
406	10940	26691
407	10964	26658
408	10990	26629
409	11022	26616
410	11047	26583
411	11072	26553
412	11097	26521
413	11124	26494
414	11149	26463
415	11175	26435
416	11199	26400
417	11225	26372
418	11251	26343
419	11278	26316
420	11308	26296
421	11335	26269
422	11359	26237
423	11383	26203
424	11409	26175
425	11433	26142
426	11457	26108
427	11482	26077
428	11510	26051
429	11535	26022
430	11559	25989
431	11585	25961
432	11612	25933
433	11636	25899
434	11662	25873
435	11689	25845
436	11716	25818
437	11741	25787
438	11768	25761
439	11796	25736
440	11820	25705
441	11845	25674
442	11870	25643
443	11896	25614
444	11922	25586
445	11950	25561
